date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,pred,actual,hit,p_actual,pred_score,score_hit
2026-06-11,South Korea,Czech Republic,2,1,0.328,0.307,0.365,away,home,False,0.3277885567379291,1-1,False
2026-06-11,Mexico,South Africa,2,0,0.719,0.221,0.06,home,home,True,0.7193173865855113,2-0,True
2026-06-12,Canada,Bosnia and Herzegovina,1,1,0.618,0.259,0.122,home,draw,False,0.25923561871083506,1-0,False
2026-06-12,United States,Paraguay,4,1,0.472,0.251,0.277,home,home,True,0.4722982745839616,1-1,False
2026-06-13,Qatar,Switzerland,1,1,0.078,0.223,0.698,away,draw,False,0.2233457596462245,0-2,False
2026-06-13,Brazil,Morocco,1,1,0.431,0.275,0.294,home,draw,False,0.27512116823226823,1-1,True
2026-06-13,Haiti,Scotland,0,1,0.144,0.268,0.588,away,away,True,0.5881913352795157,0-1,True
2026-06-13,Australia,Turkey,2,0,0.326,0.263,0.411,away,home,False,0.3256064164620691,1-1,False
2026-06-14,Sweden,Tunisia,5,1,0.571,0.257,0.172,home,home,True,0.5709800378183273,1-0,False
2026-06-14,Netherlands,Japan,2,2,0.425,0.318,0.257,home,draw,False,0.3180427460530379,1-1,False
2026-06-14,Ivory Coast,Ecuador,1,0,0.216,0.294,0.49,away,home,False,0.2164710983568973,0-1,False
2026-06-14,Germany,Curaçao,7,1,0.844,0.093,0.063,home,home,True,0.844065760752482,2-0,False
2026-06-15,Saudi Arabia,Uruguay,1,1,0.112,0.255,0.633,away,draw,False,0.2553741244911059,0-1,False
2026-06-15,Spain,Cape Verde,0,0,0.77,0.171,0.059,home,draw,False,0.17078385857552794,2-0,False
2026-06-15,Belgium,Egypt,1,1,0.572,0.286,0.141,home,draw,False,0.2864855148240765,1-0,False
2026-06-15,Iran,New Zealand,2,2,0.502,0.302,0.196,home,draw,False,0.3021034162185984,1-0,False
2026-06-16,France,Senegal,3,1,0.561,0.269,0.17,home,home,True,0.5609963618538777,1-1,False
